sample_size,custom_corr_value,custom_corr_time,statistics_corr_value,statistics_corr_time
100,1.0,0.00271233,1.0,0.001253272
200,1.0,0.005660553,1.0,0.00194182
300,1.0,0.00758988,1.0,0.003091774
400,1.0,0.014122372,1.0,0.004429821
500,1.0,0.015149265,1.0,0.005583874
600,1.0,0.01703158,1.0,0.006374878
700,1.0,0.020433879,1.0,0.008698387
800,1.0,0.024179347,1.0,0.009398918
900,1.0,0.024182095,1.0,0.011466518
1000,1.0,0.030536389,1.0,0.010440472
100,1.0,0.002923301,1.0,0.001513371
200,1.0,0.007336433,1.0,0.002345809
300,1.0,0.010412552,1.0,0.003423985
400,1.0,0.0105313,1.0,0.003553895
500,1.0,0.012212747,1.0,0.011783636
600,1.0,0.01454221,1.0,0.006156903
700,1.0,0.01913906,1.0,0.007027217
800,1.0,0.027528325,1.0,0.008481606
900,1.0,0.041074645,1.0,0.009859026
1000,1.0,0.032685848,1.0,0.011268165
100,1.0,0.003546115,1.0,0.001254819
200,1.0,0.006956923,1.0,0.002378224
300,1.0,0.015398562,1.0,0.003196537
400,1.0,0.013467843,1.0,0.00423235
500,1.0,0.015940868,1.0,0.005662876
600,1.0,0.017245452,1.0,0.007124249
700,1.0,0.035061626,1.0,0.008324672
800,1.0,0.026007669,1.0,0.008866267
900,1.0,0.030614444,1.0,0.010536064
1000,1.0,0.033246424,1.0,0.010043119
100,1.0,0.003562281,1.0,0.001249754
200,1.0,0.004998955,1.0,0.00209122
300,1.0,0.010605916,1.0,0.00383791
400,1.0,0.014703332,1.0,0.005866961
500,1.0,0.02945852,1.0,0.006060354
600,1.0,0.016752442,1.0,0.006137842
700,1.0,0.017126286,1.0,0.007292032
800,1.0,0.023706991,1.0,0.008831462
900,1.0,0.029886628,1.0,0.010371751
1000,1.0,0.033718033,1.0,0.011860767
100,1.0,0.003584883,1.0,0.001211047
200,1.0,0.006914145,1.0,0.002285357
300,1.0,0.019299099,1.0,0.003404009
400,1.0,0.012284782,1.0,0.003567818
500,1.0,0.016356951,1.0,0.006083719
600,1.0,0.017254622,1.0,0.008337604
700,1.0,0.022205155,1.0,0.008677792
800,1.0,0.02667844,1.0,0.009037229
900,1.0,0.030714319,1.0,0.010542688
1000,1.0,0.039821675,1.0,0.010606322
100,1.0,0.002671964,1.0,0.001103616
200,1.0,0.006902065,1.0,0.00707303
300,1.0,0.008811244,1.0,0.002832029
400,1.0,0.010964741,1.0,0.00365402
500,1.0,0.015886243,1.0,0.005543212
600,1.0,0.019915882,1.0,0.007027694
700,1.0,0.021376838,1.0,0.007510664
800,1.0,0.026462631,1.0,0.008401785
900,1.0,0.036187843,1.0,0.010276821
1000,1.0,0.032419618,1.0,0.010966607
100,1.0,0.002998087,1.0,0.001180166
200,1.0,0.006002847,1.0,0.001941705
300,1.0,0.015746707,1.0,0.003452128
400,1.0,0.012445309,1.0,0.004337154
500,1.0,0.012184432,1.0,0.009547508
600,1.0,0.019890263,1.0,0.006447275
700,1.0,0.034242371,1.0,0.007845791
800,1.0,0.026579254,1.0,0.008520786
900,1.0,0.030481062,1.0,0.011540072
1000,1.0,0.033467907,1.0,0.010320602
100,1.0,0.003532279,1.0,0.00155036
200,1.0,0.006858997,1.0,0.002093557
300,1.0,0.007349415,1.0,0.003099384
400,1.0,0.012630176,1.0,0.005590205
500,1.0,0.026876363,1.0,0.005089463
600,1.0,0.057216855,1.0,0.012763862
700,1.0,0.023957504,1.0,0.009369692
800,1.0,0.02644651,1.0,0.008966988
900,1.0,0.029222782,1.0,0.010731412
1000,1.0,0.034036535,1.0,0.011513667
100,1.0,0.005142892,1.0,0.002734428
200,1.0,0.008610364,1.0,0.003645618
300,1.0,0.011514629,1.0,0.004920138
400,1.0,0.016085233,1.0,0.005988815
500,1.0,0.024477458,1.0,0.013181596
600,1.0,0.019494857,1.0,0.00883462
700,1.0,0.021843599,1.0,0.00767568
800,1.0,0.02193159,1.0,0.009074101
900,1.0,0.030944863,1.0,0.01081573
